,LOCATION,Value
122,AUS,55690.9186
226,AUT,57253.300563
330,BEL,54539.032525
443,CAN,47228.372488
507,CZE,42813.74134
619,DNK,60840.940164
723,FIN,52290.401497
847,FRA,47823.919578
951,DEU,56476.934309
1065,GRC,28413.787339
1127,HUN,34156.840044
1231,ISL,54649.872164
1335,IRL,94028.901163
1439,ITA,43129.896677
1543,JPN,41699.104776
1647,KOR,44698.282816
1751,LUX,119871.429414
1855,MEX,18466.909979
1961,NLD,59815.501543
2065,NZL,45414.702452
2169,NOR,64166.765766
2233,POL,34893.459765
2337,PRT,34952.243057
2397,SVK,32898.852987
2501,ESP,37992.368883
2615,SWE,56135.141361
2719,CHE,70804.014012
2823,TUR,27971.203588
2947,GBR,45867.757803
3051,USA,63480.861222
3123,CHL,24606.968439
3226,CHN,17217.860325
3309,COL,15597.786932
3367,EST,39456.812096
3559,ISR,40223.17989
3612,RUS,29819.046969
3670,SVN,40860.470781
3758,ZAF,12293.489021
3905,OECD,45342.015927
3960,OECDE,44608.23732
4015,LVA,33008.225642
4114,LTU,40124.47344
4218,SAU,46378.343249
4271,EA19,48227.556956
4307,ARG,20769.015441
4369,CRI,21763.124576
4423,BGR,25167.305528
4477,HRV,29551.000694
4531,CYP,40897.780537
4585,MLT,44509.304787
4639,ROU,33080.128126
4771,HKG,59263.581574
4799,MDG,1540.394877
4827,MAR,7687.793728
4889,SGP,98148.67364
4942,EU27_2020,45835.617181
4991,ALB,14033.967211
5034,SRB,19547.72567
5057,GEO,14731.202573
5113,CMR,3867.183996
5157,SEN,3513.149951
